rate,location,rest_type,dish_liked,cuisines,cost_for_2
4.1/5,JP Nagar,Casual Dining Pub,Chicken Biryani Mocktails Pizza Cocktails Beer Pork Ribs Nachos,Italian Continental,1200
4.0/5,JP Nagar,Casual Dining,Egg Biryani Tandoori Chicken Chicken Biryani Paneer Tikka Mutton Biryani Noodles Dal Tadka,North Indian Chinese Biryani Hyderabadi,550
4.0/5,JP Nagar,Pub Bar,Beer Pizza Veg Starter Martini Mojito Cocktails Crispy Corn,Finger Food Chinese Continental,1300
4.2/5,JP Nagar,Casual Dining,Peri Peri Chicken Wings Mix Grill Sizzler Fish Murgh Ghee Roast Biryani Caramel Custard Paneer Tikka Masala,North Indian Continental,1000
4.1/5,JP Nagar,Casual Dining Bar,Cocktails Cajun Chicken Beer Salads Chilli Babycorn Chicken Tacos Murgh Platter,South American Continental Italian,1100
4.1/5,JP Nagar,Casual Dining,Dragon Chicken Mutton Biryani Mocktails Dal Makhani Rumali Roti Butter Naan Paneer Tikka,North Indian Chinese Continental,1200
4.0/5,JP Nagar,Casual Dining,Coffee Cappuccino Sandwiches Salads Asparagus Soup Woodfire Pizza Bruschettas,Continental Italian Beverages,1300
3.8/5,JP Nagar,Casual Dining,Ghee Rice Hyderabadi Biryani Butter Naan Chicken Guntur Thali,North Indian,600
3.8/5,JP Nagar,Casual Dining,Lassi Raita Dal Makhani Panneer Butter Masala Jalebi Biryani Paneer Tikka,North Indian,1000
3.9/5,JP Nagar,Casual Dining,Sea Food Anjal Masala Fry Fish Curry Thali Neer Dosa,Mangalorean Seafood North Indian,750
4.0/5,JP Nagar,Casual Dining,Tandoori Chicken Biryani Paneer Tikka Chicken Curry Plain Rice Cheese Naan Malaysian Noodles,North Indian Chinese Thai Mughlai Seafood,1000
4.1/5,JP Nagar,Casual Dining,Khichda Thali Jowar Roti Cucumber Juice Brownie Palak Soup Buttermilk,Healthy Food South Indian,500
3.9/5,JP Nagar,Casual Dining,Noodles Mocktails Honey Chilli Potatoes Veg Ball Manchurian Kung Pao Chicken Momos Pepper Chicken,Chinese Thai Momos,600
4.1/5,JP Nagar,Casual Dining,Momos Chilli Mushroom Chop Suey Sweet Corn Soup Clear Soup Hakka Noodles Honey Chilli Potatoes,Chinese Momos,700
4.0/5,JP Nagar,Casual Dining,French Toast Masala Omelette Pasta Egg Paratha Caramel Custard Biryani Penne Alfredo,Continental American,750
4.1/5,JP Nagar,Casual Dining,Murgh Ghee Roast Neer Dosa Sea Food Fish Prawn Ghee Roast Prawn Curry Buttermilk,Konkan Mangalorean North Indian Seafood,700
4.0/5,JP Nagar,Quick Bites,Paneer Hyderabadi Panneer Butter Masala Roti Coffee Masala Dosa Mughlai Biryani Idli Vada,South Indian North Indian Chinese,300
3.7/5,JP Nagar,Casual Dining,Masala Dosa Babycorn Manchurian Filter Coffee Chaat Dahipuri Masala Papad Raagi Dosa,North Indian South Indian Chinese,500
3.8/5,JP Nagar,Quick Bites,Biryani Butter Chicken Chicken Wings Tandoori Chicken Chicken Grill Arabian Grape Juice,North Indian Chinese Biryani,350
3.8/5,JP Nagar,Casual Dining,Roti,North Indian South Indian Chinese,400
3.7/5,JP Nagar,Casual Dining,Paneer Tikka Chicken Biryani Cocktails Prawn Barbeque Chicken Malai Kofta Roti,North Indian Continental Chinese,950
3.8/5,JP Nagar,Quick Bites,Chicken Grill Shawarma Tandoori Chicken Rolls Chicken Kebab Chicken Tikka Butter Chicken,North Indian Chinese Kebab Juices,400
3.9/5,JP Nagar,Casual Dining,Coffee Tea Masala Poori Masala Dosa Akki Rottis,South Indian North Indian Chinese,450
3.9/5,JP Nagar,Cafe,Coffee Pizza Nachos Kit Kat Shake Garlic Bread Mexican Rice Burgers,Cafe Continental North Indian,800
3.7/5,JP Nagar,Casual Dining,Butter Paneer Butter Naan Panneer Butter Masala Tandoori Roti,Biryani North Indian Chinese,450
4.1/5,JP Nagar,Cafe,Pizza Salads Pasta Sandwiches Veg Quiche Coffee Tea,Cafe Continental Italian,550
2.9/5,JP Nagar,Casual Dining,Paratha Panipuri Tea Pav Bhaji Chaat,North Indian Street Food,600
4.4/5,JP Nagar,Casual Dining Cafe,Chicken Alfredo Pizza Coffee Mousse Chicken Calzone Banana Smoothie Butter Chicken Pizza Chocolate Pizza Chicken Tikka Pizza,Pizza Cafe Italian,600
4.0/5,JP Nagar,Casual Dining,Chicken Biryani Donne Biryani Chilli Chicken Mutton Chops Paratha Mutton Biryani Nati Biryani,South Indian Biryani North Indian,500
3.8/5,JP Nagar,Quick Bites,Pot Biryani Sea Food Fish Thali,North Indian Mangalorean Chinese,400
3.9/5,JP Nagar,Casual Dining,Fries Lunch Buffet Appam Manchow Soup Paneer Tikka Vegetable Stew Biryani,South Indian North Indian Chinese Biryani,1000
3.4/5,JP Nagar,Casual Dining Bar,Lime Soda Appam Biryani Pepper Chicken Vegetable Stew Chicken Curry,South Indian Chettinad Kerala Seafood,1100
3.7/5,JP Nagar,Cafe,Poha Coffee Pav Bhaji Masala Chai Sattu Paratha Sandwich,Cafe Sandwich North Indian Beverages Desserts,400
3.8/5,JP Nagar,Lounge Bar,Cocktails Pizza Chicken Tikka Fish Burgers Nachos Almond Flakes,Pizza Continental North Indian Chinese,1000
3.9/5,JP Nagar,Casual Dining,Lassi Chole Palak Paneer Chaap Paneer Tikka Panneer Butter Masala Paratha,North Indian Chinese,500
3.8/5,JP Nagar,Cafe,Filter Coffee Pizza Pasta,Burger Cafe Desserts Sandwich Italian,450
3.3/5,JP Nagar,Casual Dining,Chaat Custard Fish Pepper Chicken Lunch Buffet Chicken Tikka Salads,North Indian Chinese Continental,950
3.8/5,JP Nagar,Casual Dining,Chicken Lollipop Vegetable Biryani Noodles Chicken Noodle Clear Soup Hot Pot Coriander Chicken,Chinese,600
3.1/5,JP Nagar,Casual Dining,Firni Rolls Egg Roll Chicken Biryani Mutton Biryani Calcutta Biryani Haleem,North Indian Mughlai Biryani Rolls,600
3.4/5,JP Nagar,Cafe,Coffee Potato Wedges Tea,Cafe Fast Food,550
2.3/5,JP Nagar,Casual Dining,Raita Thali Paratha Chole Buttermilk Paneer Bhurji Rice,North Indian,450
3.1/5,JP Nagar,Casual Dining,Mutton Biryani Chicken Biryani,South Indian Biryani Chinese North Indian,750
3.5/5,JP Nagar,Casual Dining,Hyderabadi Biryani Dum Ka Chicken Rice,North Indian South Indian Biryani,750
3.0/5,JP Nagar,Casual Dining,Andhra Meal Thali,Andhra North Indian Biryani,800
3.7/5,JP Nagar,Casual Dining,Jal-jeera Paratha Chaat,North Indian Fast Food Street Food,800
3.0/5,JP Nagar,Casual Dining,Rice Noodles Chop Suey,Chinese Thai,650
3.7/5,JP Nagar,Cafe,Pizza Pasta Bubble Tea Brownie Pancakes Cheesy Garlic Bread Chocolate Waffles,Cafe Italian Desserts,700
2.5/5,JP Nagar,Quick Bites,Shawarma Chicken Grill Tandoori Chicken Butter Chicken Rolls Chicken Tikka Grape Juice,North Indian Chinese Fast Food Rolls Juices,400
3.9/5,JP Nagar,Quick Bites,Coffee Pav Bhaji Masala Dosa Vada Sambar,South Indian North Indian Fast Food,300
3.9/5,JP Nagar,Quick Bites,Vada Pongal Podi Idli Masala Dosa Podi Dosa Idiyappam Rice,South Indian,200
3.9/5,JP Nagar,Quick Bites,Tortilla Chips Tabasco Pizza Salsa Mixed Sauce Pasta White Sauce Pasta Manali Pizza Nawabi Pizza,Pizza Italian,600
3.3/5,JP Nagar,Quick Bites,Biryani Kshatriya Kebab,Biryani Andhra,350
2.9/5,JP Nagar,Dessert Parlor,Pasta Sandwiches Club Sandwich Cottage Cheese Steak Waffles Chicken Lasagne Chicken Burger,Desserts Italian Pizza,800
3.9/5,JP Nagar,Quick Bites,Fries,Burger Fast Food Roast Chicken Finger Food,300
4.1/5,BTM,Casual Dining Bar,Biryani Chicken Bbq Wings Mocktails Sangria Cocktails Burgers Pasta,Asian Continental Finger Food,1500
4.0/5,BTM,Casual Dining,Buttermilk Jal-jeera Churma Palak Kofta Lassi Gulab Jamun Dahi Bhindi,Rajasthani,500
3.9/5,BTM,Casual Dining,Lassi Shikanji Dal Makhani Makke Ki Roti Butter Chicken Paneer Punjabi Chicken Curry,North Indian,600
3.7/5,BTM,Casual Dining,Shawarma Roll Chicken Grill Tandoori Chicken Chicken Wings Ghee Rice Pulpy Grape Juice,North Indian Chinese,500
4.0/5,BTM,Quick Bites,Radhaballavi Biryani Egg Noodles Egg Roll Fish Curry Egg Devils Thali,Bengali North Indian,400
3.0/5,BTM,Casual Dining,Tea Vada Sambar Masala Dosa,South Indian North Indian Chinese,600
3.7/5,BTM,Casual Dining,Thali Paratha Dal Kichadi,Chinese North Indian,550
4.2/5,BTM,Quick Bites,Litti Liti Chokha Lassi Tea Paratha Thali Chai,North Indian Bihari,300
3.9/5,BTM,Quick Bites,Rasgulla Mutton Kosha Chicken Kasha Samosa Chaat Kheer Veg Thali,Oriya Fast Food,250
4.1/5,BTM,Quick Bites,Aloo Paratha Samosa Kachori Poha Chaat,Fast Food North Indian,400
4.0/5,BTM,Quick Bites,Paratha Palak Paneer,North Indian,300
3.7/5,BTM,Casual Dining,Biryani,North Indian Chinese,500
3.7/5,BTM,Quick Bites,Paratha Butter Naan Thali Tandoori Roti Lassi,North Indian,400
2.7/5,BTM,Quick Bites,Biryani Manchow Soup Naan,North Indian Chinese,500
2.6/5,BTM,Quick Bites,Vada,North Indian South Indian Chinese Street Food,400
2.9/5,BTM,Quick Bites,Lassi,Chinese North Indian,300
3.9/5,BTM,Casual Dining,Katla Kalia Basanti Pulao Biryani Aloo Posto Mutton Kosha Ilish Mutton Dak Bunglow,Bengali,650
2.9/5,BTM,Quick Bites,Paratha Shahi Paneer,North Indian,250
4.4/5,Bannerghatta Road,Pub,Gajar Ka Halwa Chilli Chicken Hara Bhara Kebab Custard Brownie Sev Puri Pasta,North Indian Italian,900
4.4/5,Bannerghatta Road,Casual Dining Bar,Pizza Cocktails Saffron Rice Pie Sulemani Chai Prawn Crackers Waffles,Continental North Indian Pizza Italian,1200
3.9/5,Bannerghatta Road,Lounge,Cocktails Salads Burgers Long Island Iced Tea Tacos Nachos Steak,American Burger Italian Steak,1700
3.9/5,Bannerghatta Road,Casual Dining,Cocktails Ghee Roast Mutton Mocktails Chicken Biryani Malai Kofta Chicken Chatpata Fish,North Indian Chinese Seafood Biryani Mangalorean,800
4.5/5,JP Nagar,Casual Dining Bar,Mocktails Cocktails Appam Paneer Satay Sea Food Paneer Tikka Jeera Rice,North Indian Asian Seafood Chinese,1200
4.4/5,JP Nagar,Microbrewery,Pork Chops Craft Beer Chicken Biryani Chowmein Drunken Chicken Wings Cocktails Mocktails,Continental American,1600
3.9/5,JP Nagar,Bar,Cocktails Beer Bloody Mary Pasta Pizza Burgers Nachos,Finger Food North Indian Chinese,1300
4.1/5,JP Nagar,Casual Dining Bar,Stuffed Chicken Malai Broccoli Cocktails Salad Mocktails Tomato Soup Biryani,Continental Finger Food North Indian Chinese,1200
4.1/5,JP Nagar,Casual Dining Pub,Chicken Biryani Mocktails Pizza Cocktails Beer Pork Ribs Nachos,Italian Continental,1200
4.0/5,JP Nagar,Pub Bar,Beer Pizza Veg Starter Martini Mojito Cocktails Crispy Corn,Finger Food Chinese Continental,1300
4.1/5,JP Nagar,Casual Dining Bar,Cocktails Cajun Chicken Beer Salads Chilli Babycorn Chicken Tacos Murgh Platter,South American Continental Italian,1100
3.4/5,JP Nagar,Casual Dining Bar,Lime Soda Appam Biryani Pepper Chicken Vegetable Stew Chicken Curry,South Indian Chettinad Kerala Seafood,1100
4.1/5,BTM,Casual Dining Bar,Biryani Chicken Bbq Wings Mocktails Sangria Cocktails Burgers Pasta,Asian Continental Finger Food,1500
4.2/5,Jayanagar,Casual Dining,Veg Buffet Pasta Salads Rasmalai Chaat Biryani Fries,North Indian South Indian,1000
3.8/5,Basavanagudi,Casual Dining,Panipuri Gol Gappe,North Indian Rajasthani,600
3.8/5,Basavanagudi,Casual Dining,Onion Rings Pasta Kadhai Paneer Salads Salad Roti Jeera Rice,North Indian,600
4.1/5,Jayanagar,Casual Dining,Palak Paneer Aam Panna Crispy Corn Gajar Ka Halwa Panipuri Kulfi Salads,North Indian Chinese,950
4.1/5,Jayanagar,Casual Dining,Veg Momos Brownie Chocolate Palak Chaat Mutton Biryani Dahipuri Fish Sea Food,North Indian Chinese BBQ,1500
4.4/5,Jayanagar,Casual Dining,Chicken Tikka Masala Mutton Keema Dosa Mutton Biryani Raan Biryani Brain Fry Chicken Grill Ghee Rice,North Indian Mughlai South Indian Chinese,750
4.1/5,Banashankari,Casual Dining,Pasta Lunch Buffet Masala Papad Paneer Lajawab Tomato Shorba Dum Biryani Sweet Corn Soup,North Indian Mughlai Chinese,800
3.8/5,Banashankari,Cafe Casual Dining,Churros Cannelloni Minestrone Soup Hot Chocolate Pink Sauce Pasta Salsa Veg Supreme Pizza,Cafe Mexican Italian,800
3.8/5,Wilson Garden,Casual Dining,Friendly Staff,Continental Chinese North Indian South Indian,1000
4.1/5,Jayanagar,Casual Dining,Roti Butter Kulcha Fried Rice Tomato Soup Curd Rice Lunch Buffet Paneer Tikka,North Indian Chinese South Indian,550
3.8/5,Jayanagar,Casual Dining,Mutton Biryani Cocktails Dal Makhani Naan Fish Roti Lamb,North Indian Afghani,1350
3.8/5,Jayanagar,Casual Dining,Spring Roll Tomato Soup Mocktails Sweet Corn Soup Gulab Jamun Roti Paneer Tikka,North Indian Mughlai Biryani,1200
4.3/5,Jayanagar,Cafe Casual Dining,Tea Waffles Coffee Nutella Waffle Pizza Wedges Pasta,Cafe Continental Mediterranean Italian Desserts,800
4.1/5,Jayanagar,Cafe,Pasta Pizza Mocktails,Cafe Chinese Continental Fast Food,800
4.6/5,Basavanagudi,Casual Dining Cafe,Barbeque Chicken Pizza Mushroom Ravioli Pasta Lasagne Berryblast Mocktails Potato Wedges,Pizza Cafe Italian,600
3.9/5,Basavanagudi,Cafe,Fries Oreo Shake Pasta Arrabiata,Cafe,700
3.8/5,Basavanagudi,Casual Dining Cafe,Paratha Sandwich Chilli Idli Noodles Sandwiches Lime Soda,North Indian Cafe Chinese Fast Food,550
4.0/5,Basavanagudi,Cafe,Pizza Fries Anjeer Ice Cream Sandwiches Gelato Burgers Kesar Badam,Cafe Italian,600
4.1/5,Basavanagudi,Cafe,Pasta Nachos Jalapeno Poppers Burrito Bowl Ferrero Rocher Shake Falafal Sandwich Banana Waffles,Cafe Continental Beverages Desserts,500
3.7/5,Basavanagudi,Cafe,Pizza Pasta Alfredo Brownie Garlic Bread Sandwiches Lemon Mojito Mocha Fudge,Cafe Italian Beverages,600
3.4/5,Basavanagudi,Cafe,Maggi Pasta Burgers Sandwiches Fries,Cafe Fast Food,400
4.3/5,Jayanagar,Casual Dining Cafe,Mushroom Soup Salads Halwa Thali Salad Millet Pizza Misal Pav,Healthy Food Cafe Beverages,800
4.2/5,Jayanagar,Cafe,Coffee Fries Sandwich Pizza Pancakes Pasta Hot Chocolate,Cafe,500
4.1/5,Jayanagar,Cafe,Pizza Nachos Rolls Veggie Roll Sandwiches Burgers Mango Shake,Cafe Fast Food Beverages,400
4.2/5,Jayanagar,Cafe,Pizza Vegetarian Momo Platter Momos Nachos Salsa Salad,Cafe Continental Beverages Healthy Food Desserts Sandwich Pizza Salad,800
4.2/5,Jayanagar,Cafe,Burgers Coffee Pasta Peri Peri Fries Kit Kat Shake Nachos Paneer Tikka Pizza,Cafe Salad Wraps Beverages,800
4.1/5,Jayanagar,Cafe,Hummus Platter Juicy Lamb Burger Salmon Steak Mousse Pasta Pizza Sweet Potato Fries,Cafe Healthy Food,850
4.2/5,Jayanagar,Cafe,Sandwiches Pasta Cobb Salad Pizza Burgers Calzone Fries,Cafe Continental Beverages,700
4.2/5,Banashankari,Cafe,Mocktails Peri Fries Lasagne Pizza Chicken Bbq Wings Virgin Mojito Nachos,Cafe Italian Continental,600
4.2/5,Jayanagar,Cafe,Pasta Tacos Macaroni Panna Cotta Salads Spaghetti Churros,Cafe Continental Sandwich Beverages,800
4.0/5,Banashankari,Cafe,Pizza Mocktails Coffee Nachos Salad Pasta Sandwiches,Cafe Italian Continental,700
4.6/5,Jayanagar,Cafe,Pizza Nachos Garlic Maggi Burgers Cheese Maggi Bruschetta Bites Sandwich,Cafe Beverages,400
4.2/5,Banashankari,Cafe,Waffles Pasta Coleslaw Sandwich Choco Waffle Tacos Momos Cheese Nachos,Cafe Mexican Italian Momos Beverages,550
4.1/5,Jayanagar,Cafe,Pizza Pasta Nachos Burgers Sandwich Tea Cheese Balls,Cafe Italian Pizza,650
4.1/5,Jayanagar,Cafe,Coffee,Cafe Desserts,700
3.8/5,Banashankari,Cafe Casual Dining,Churros Cannelloni Minestrone Soup Hot Chocolate Pink Sauce Pasta Salsa Veg Supreme Pizza,Cafe Mexican Italian,800
3.8/5,Banashankari,Cafe,Garlic Bread Burgers Sandwiches Pizza Hot Chocolate Fudge Waffles Potato Wedges,Cafe,650
3.8/5,Banashankari,Cafe,Pasta Gelato Garlic Bread Mojito Nachos Paneer Pizza Mocktails,Chinese Cafe Italian,700
3.8/5,Jayanagar,Cafe,Coffee Hot Chocolate Cappuccino Ice Tea Corn Balls,Cafe,400
4.0/5,Jayanagar,Cafe,Rose Tea Hibiscus Tea Masala Chai Ginger Tea,Cafe,150
3.9/5,Jayanagar,Cafe,Burgers Panneer Butter Masala Pasta Hot Dog Fries Cheesy Pizza Potato Wedges,Cafe Burger Continental Italian Desserts,650
3.2/5,Jayanagar,Cafe Casual Dining,Coffee Sandwich,Cafe Fast Food,550
2.9/5,Jayanagar,Quick Bites Cafe,Coffee Cappuccino,Chinese Fast Food Cafe,650
2.6/5,Jayanagar,Cafe,Coffee Sandwich Hot Chocolate Ice Tea Sandwiches Chicken Lasagne Pizza,Cafe American Pizza,450
3.7/5,Jayanagar,Cafe,Chocolate Shake Nachos Babycorn Manchurian Cheese Maggi French Fries Tea Oreo Shake,Cafe Fast Food Beverages,400
4.6/5,Koramangala 5th Block,Delivery,Brownie Noodles,Healthy Food North Indian Biryani Continental Sandwich Desserts,500
3.9/5,Banashankari,Delivery,Salads Sandwiches Salad Thai Rice Pasta Noodles Pizza,Healthy Food Chinese Biryani North Indian Continental Salad American Burger,450
4.1/5,Jayanagar,Quick Bites,Burgers Fries Chicken Filet Burger Peri Peri Chicken Wings Peri Peri Chicken Salad Peri Peri Chicken Burger Falafel,Burger Turkish Arabian Fast Food Salad Healthy Food Desserts,500
4.2/5,Jayanagar,Beverage Shop Dessert Parlor,Waffles Iced Coffee Yoghurt Shake Belgian Chocolate Waffle Ice Tea Faluda,Beverages Desserts,400
4.4/5,Jayanagar,Casual Dining,Chicken Tikka Masala Mutton Keema Dosa Mutton Biryani Raan Biryani Brain Fry Chicken Grill Ghee Rice,North Indian Mughlai South Indian Chinese,750
4.0/5,Banashankari,Casual Dining,Panner Tikka Kulfi Coffee Pav Bhaji Carrot Halwa Fried Rice Set Dosa,South Indian North Indian Chinese,450
4.2/5,Basavanagudi,Quick Bites,Pizza Nachos Salads Peri Peri Fries Brownie Pasta Alfredo Spaghetti,Salad Healthy Food Sandwich Juices Burger Desserts Pizza,500
4.1/5,Basavanagudi,Quick Bites,Chaat Pav Bhaji Dabeli Vada Pav Tawa Pulav Panipuri Malpua,Street Food,200
3.8/5,Banashankari,Quick Bites,Burgers French Fries,Burger Fast Food,450
4.1/5,Banashankari,Quick Bites,Masala Dosa Tirupathi Pongal Filter Coffee Vada Kharabath Kali Dosa Rava Idli,South Indian North Indian Chinese Street Food,300
4.0/5,Koramangala 5th Block,Casual Dining,Chicken Dum Biryani Kerala Parotta Chicken Boneless Biryani Vegetable Biryani Naan Fish Gulab Jamun,Biryani Andhra North Indian Chinese,800
3.7/5,JP Nagar,Quick Bites,Paratha Thali,North Indian Beverages,250
3.8/5,Basavanagudi,Casual Dining,Rolls Shawarma Butter Chicken Mutton Biryani Lahori Chicken Chicken Roll Grape Juice,North Indian Kebab Biryani Chinese,650
3.7/5,Basavanagudi,Quick Bites,Chocolate Cookies Mexican Patty,Salad Fast Food,600
4.1/5,Jayanagar,Quick Bites,Coffee Masala Dosa Tea Badam Milk Vada Idli Raagi Dosa,South Indian Coffee,200
3.6/5,JP Nagar,Takeaway Delivery,Pot Biryani Raita Mutton Biryani,Biryani North Indian Rolls,500
3.8/5,Basavanagudi,Quick Bites,Dabeli Faluda Masala Poori Sandwiches Tokri Chaat Pav Bhaji Dahipuri,Street Food Fast Food,200
4.2/5,Banashankari,Casual Dining,Sushi Noodles Wine Khau Suey Mocktails Yakisoba Spring Roll,Asian Korean Indonesian Japanese Chinese Thai Momos,800
3.6/5,JP Nagar,Casual Dining,Coffee Mushroom Masala Masala Dosa Palak Paneer,South Indian North Indian Chinese,400
4.3/5,Jayanagar,Quick Bites,Whole Meat Shawarma Malgoum Shawarma Rolls Pita Bread Kerala Parotta,Arabian,300
4.2/5,Banashankari,Cafe,Waffles Pasta Coleslaw Sandwich Choco Waffle Tacos Momos Cheese Nachos,Cafe Mexican Italian Momos Beverages,550
4.1/5,Basavanagudi,Quick Bites,Grape Juice Chicken Grill Chicken Tikka Roll Shawarma Roll Chicken Shawarama Biryani Combo Rolls,North Indian Kebab Chinese Fast Food,400
3.7/5,Basavanagudi,Beverage Shop,Lassi,Beverages Ice Cream,150
3.9/5,BTM,Quick Bites,Chicken Stew Ghee Rice Biryani Chai,Biryani,300
3.2/5,Jayanagar,Quick Bites,Paratha,North Indian Chinese,300
4.0/5,Jayanagar,Quick Bites,Dabeli Samosa Tawa Pulav Cheese Vada Pav,Maharashtrian,100
4.0/5,JP Nagar,Quick Bites,Neer Dosa Coffee Pav Bhaji Khali Dosa Panipuri Masala Dosa Tea,South Indian North Indian Chinese,300
4.0/5,JP Nagar,Casual Dining,Kalmi Kabab Hyderabadi Dum Biryani Vegetable Biryani Haleem Supreme Mutton Biryani Paneer Tikka Hyderabadi Mutton Biryani,Biryani North Indian Kebab,800
4.0/5,Jayanagar,Casual Dining,Prawn Biryani Dragon Chicken Chicken Boneless Biryani Afghani Biryani Mughlai Biryani Paneer Tikka Biryani Gongura Biryani,Biryani North Indian Chinese Andhra South Indian,750
3.3/5,Shanti Nagar,Casual Dining,Biryani Butter Chicken Butter Naan Kalmi Kebab Roti Rolls Fried Rice,North Indian Chinese,500
4.0/5,Jayanagar,Dessert Parlor,Coffee Chocolate Donut Chocolate Dreamcake Cookie Crunch Double Chocolate Cake Hot Chocolate,Desserts Beverages,300
3.9/5,Basavanagudi,Casual Dining,Coffee Spring Roll Roti Panneer Butter Masala Noodles Butter Naan Masala Dosa,North Indian Chinese South Indian,500
4.6/5,Banashankari,Casual Dining Cafe,Farmhouse Pizza Chocolate Banana Virgin Mojito Pasta Paneer Tikka Lime Soda Prawn Pizza,Pizza Cafe Italian,600
3.9/5,Jayanagar,Beverage Shop Dessert Parlor,Thick Shakes Chocolate Hazelnut Shake Mango Shake Choco Hazelnut Milk Shake Chocolate Oreo Strawberry Milkshake,Desserts Beverages Ice Cream,400
3.8/5,Basavanagudi,Dessert Parlor,Hot Chocolate Fudge,Ice Cream Desserts Beverages Sandwich,400
3.9/5,Banashankari,Delivery,Raita Gulab Jamun Paneer Biryani Vegetable Biryani Gosht Dum Biryani Chicken Biryani Murgh Biryani,Biryani,650
4.2/5,Basavanagudi,Quick Bites,Sweet Pongal Mini Idlis Filter Coffee Open Masala Dosa Pakoda Vada Raagi Dosa,South Indian,100
4.3/5,Jayanagar,Quick Bites,Paratha Vada Pav Chaat Pav Bhaji Panipuri Masala Poori Dhokla,North Indian Street Food Juices,200
4.1/5,Jayanagar,Casual Dining,Filter Coffee Masala Dosa Idli Vada,South Indian North Indian Chinese Beverages,500
3.9/5,Banashankari,Quick Bites,Biryani,South Indian North Indian Chinese Biryani,400
4.1/5,BTM,Casual Dining,Butter Chicken Panner Tikka Chicken Biryani Chicken Lollipop Chicken Tikka Masala Dum Biryani Tangdi Kabab,Biryani North Indian Mughlai,800
3.8/5,Banashankari,Casual Dining,Supreme Pizza Potato Wedges Masala Lemonade Tandoori Paneer Exotic Garlic Bread,Pizza Fast Food,750
4.4/5,Jayanagar,Casual Dining,Chicken Boneless Biryani Hyderabadi Biryani Paneer Biryani Tandoori Chicken Vegetable Biryani Chicken Kebab Raita,Biryani North Indian Chinese,600
3.9/5,Banashankari,Delivery,Paneer Tikka Garlic Bread Thin Crust Pizza Falafel Veggie Pizza,Pizza,750
3.9/5,Bannerghatta Road,Casual Dining,Chicken Grill Fish Shawarma Rolls Tandoori Chicken Hyderabadi Chicken Chicken Roll,North Indian Chinese,650
3.7/5,JP Nagar,Quick Bites,Coffee,Fast Food North Indian South Indian,200
3.2/5,Jayanagar,Beverage Shop Quick Bites,Ginger Chai Ginger Tea Banana Cake Samosa Masala Chai Banana Walnut,Tea Beverages Fast Food,250
4.1/5,Basavanagudi,Quick Bites,White Pasta Noodles Babycorn Manchurian Pizza Veg Momos Fry Momos Tawa Pulav,Continental Fast Food Street Food Momos,500
3.7/5,Jayanagar,Quick Bites,Chicken Biryani Rolls,North Indian Mughlai Chinese,350
4.2/5,Banashankari,Quick Bites,Rolls Veggie Wrap Chocolate Fantasy Rice Bowls Chicken Rice Paneer Makhanwala Chicken Tikka Wrap,North Indian Biryani Fast Food,500
3.9/5,Jayanagar,Cafe,Burgers Panneer Butter Masala Pasta Hot Dog Fries Cheesy Pizza Potato Wedges,Cafe Burger Continental Italian Desserts,650
4.2/5,Banashankari,Casual Dining,Noodles Momos Veg Manchow Soup Kung Pao Chicken Chicken Lollipop Chop Suey Dragon Chicken,Chinese Thai Momos,600
4.1/5,Jayanagar,Casual Dining,Noodles Laksa Soup Coffee Veg Fritters Vegetarian Babycorn Manchurian Mango Salad,Thai Vietnamese Asian Chinese,1200
3.8/5,Banashankari,Quick Bites,Masala Dosa Idli Filter Coffee Medu Dosa,South Indian,100
3.5/5,Banashankari,Quick Bites,Rolls Burgers Juicy Momos Chicken Momo Chocolate Momos Mushroom Momo Paneer Momos,Tibetan Momos,250
3.9/5,Banashankari,Quick Bites,Jowar Roti Buttermilk Sabudana Vada Thali Mirchi Bajji Brinjal Curry,South Indian,200
4.0/5,Jayanagar,Quick Bites,Vada Coffee Masala Dosa Gulab Jamun Roti Idli Tomato Soup,South Indian North Indian Chinese,400
3.9/5,Jayanagar,Quick Bites,Paratha Coffee Halwa Lassi,Street Food North Indian South Indian,400
4.1/5,Basavanagudi,Casual Dining,Masala Dosa Filter Coffee Maddur Vada Curd Vadai Onion Dosa Upma Sunday Breakfast,South Indian Chinese North Indian Street Food Rolls Juices,550
4.2/5,Jayanagar,Cafe,Sandwiches Salads Panipuri Gol Gappe Pizza Sandwich Cheesy Pizza Pancakes,Cafe Beverages Fast Food,400
3.9/5,Basavanagudi,Dessert Parlor,Waffles Nutella Waffle Thick Shakes,Desserts Beverages,400
3.9/5,Jayanagar,Quick Bites,Rasmalai Kaju Katli Paratha Pav Bhaji Badam Milk Rasgulla Dhokla,Mithai Street Food,400
4.0/5,Banashankari,Delivery,Minced Chicken Lasagne Chicken Steak,Mexican Italian,600
4.2/5,Banashankari,Casual Dining,Pizza Pasta Garlic Bread Nachos Penne Alfredo Mozzarella Sticks Salad,Pizza Italian Continental Desserts,800
3.9/5,Jayanagar,Quick Bites,Chai Lemon Tea Chicken Roll,Fast Food,200
4.2/5,Banashankari,Quick Bites,Panneer Butter Masala Lassi Paratha Jeera Rice Paneer Parantha Bhindi Fry Veg Kolhapuri,North Indian,350
3.6/5,Banashankari,Quick Bites,Coffee Masala Dosa,South Indian North Indian Chinese,250
